Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION;;;;;;
;;;;;;;;C1;C1;C2;C1;C2;C2;C1;C3;C3;C2;C2;C2;C3;C2;C3;;;;;;;C1;C2;C3;;C1;C2;C3;;;;;;;;
12;1;I.E. N° 5154;1ro;1;1;36;29;12;4;10;19;11;4;20;6;20;20;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;47%;24%;69%;69%;9;;;;;;
13;1;I.E. FE Y ALEGRIA 59;1ro;2;2;68;68;60;56;45;64;46;14;51;36;37;49;0;0;0;0;0;0;0;0;0;0;;3;2;2;2;83%;47%;65%;65%;14;;;;;;
14;1;I.E. SAN JUAN MACIAS;1ro;2;2;57;57;52;48;26;52;23;37;46;31;47;36;0;0;0;0;0;0;0;0;0;0;;3;2;2;2;76%;54%;82%;82%;14;;;;;;
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;1ro;3;3;85;81;52;54;24;67;43;23;57;43;47;51;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;58%;45%;64%;64%;11;;;;;;
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";1ro;5;5;154;141;78;67;61;74;46;30;61;44;49;91;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;56%;31%;44%;44%;9;;;;;;
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";1ro;5;5;154;150;120;98;110;92;69;79;77;71;76;118;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;77%;60%;64%;64%;14;;;;;;
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";1ro;2;2;67;52;40;29;30;36;21;14;14;6;23;36;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;69%;26%;35%;35%;10;;;;;;
19;2;"I.E. Nº 5145 ""BALNEARIO""";1ro;2;2;77;68;40;48;18;47;8;25;30;18;24;27;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;53%;25%;41%;41%;6;;;;;;
20;2;I.E. Nº 5146;1ro;2;2;53;48;37;35;27;39;26;18;32;18;31;41;0;0;0;0;0;0;0;0;0;0;;2;2;2;2;66%;41%;63%;63%;12;;;;;;
21;2;I.E. N° 5152;1ro;2;0;45;42;33;21;26;28;7;13;19;12;31;28;0;0;0;0;0;0;0;0;0;0;;3;2;1;1;68%;30%;34%;68%;6;;;;;;
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";1ro;2;2;67;66;63;34;55;59;28;22;40;31;52;59;0;0;0;0;0;0;0;0;0;0;;3;1;2;2;90%;41%;70%;70%;14;;;;;;
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;1ro;2;0;56;56;40;31;37;40;34;35;37;26;41;46;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;44%;36%;44%;44%;8;;;;;;
24;2;I.E. COPRODELI SAN MARTIN;1ro;1;1;34;34;29;32;31;31;30;33;27;28;23;18;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0%;0%;0%;0%;0;;;;;;
25;2;I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO;1ro;2;2;60;55;46;34;25;27;17;32;33;22;35;32;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;60%;43%;63%;63%;11;;;;;;
26;2;I.E. N° 5156 ELIAS AGUIRRE;1ro;2;2;50;40;28;14;20;34;25;2;19;20;25;36;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;68%;38%;54%;54%;11;;;;;;
